"1","1","Votre organisation délivre des produits et des services. Laquelle des phrases suivantes correspond le mieux à votre organisation ?","L'organisation délivre des produits et des services mais ne se souci de prendre en compte que ses intérêts propres.","L'organisation délivre des produits et des services en respect des lois et des standards.","L'organisation délivre des produits et des services innovants.","L'organisation délivre des produits et des services durables et éthiques.","L'organisation délivre des produits et des services durables et éthiques. Ils contribuent à une transformation en profondeur de la société.","1","3","PROPOSITION DE VALEUR","0","fr"
"12","12","Dans votre organisation, quel attitude prédomine vis-à-vis des partenaires ?","L'organisation cherche systématiquement à dominer ses partenaires.","L'organisation interagit avec ses partenaires de manière purement transactionnelle et contractuelle.","L'organisation considère principalement ses partenaires comme facteur et paramètre de son propre succès.","L'organisation sélectionne ses partenaires principalement en concordance avec ses valeurs et cherche systématiquement une relation gagnant-gagnant.","L'organisation cherche systématiquement à créer des synergies fortes avec ses partenaires et son écosystème.","12","3","ATTITUDE ENVERS LES PARTENAIRES","0","fr"
"13","13","Dans votre organisation, qui définit les orientations stratégiques ?","Les orientations stratégiques sont décidées par le chef.","Les orientations stratégiques sont décidées par la direction et assurée par la hiérarchie.","Les orientations stratégiques sont prises par la direction qui consulte largement tout les responsables hiérarchiques.","Les orientations stratégiques sont largement discutées avec l'ensemble du personnel.","Les orientations stratégiques peuvent être profondément influencées par chaque contributeur et par l'écosystème de l'organisation.","13","3","ORIENTATIONS STRATEGIQUES","0","fr"
"14","14","Dans votre organisation, comment décririez-vous le style de leadership?","Les employés suivent les ordres donnés par le chef.","Le chef d'équipe dirige ses subordonnés par l'intermédaire d'instructions qui doivent être suivies.","Le chef d'équipe dirige ses subordonnés en définissant et en contrôlant des objectifs.","Le leader inspire et dynamise. Le leader occupe généralement un poste hiérarchique.","Le leadership est partagé et décentralisé. Chaque personne peut devenir un leader dans les domaines où ses talents peuvent être exprimés.","14","3","STYLE DE LEADERSHIP","0","fr"
"15","15","Dans votre organisation, que vérifieront en premier lieu les personnes avant d'initier une nouvelle collaboration ?","Les personnes vérifieront en premier lieu la loyauté.","Les personnes vérifieront en premier lieu la capacité à suivre les règles.","Les personnes vérifieront en premier lieu les possibilités de contribution au succès.","Les personnes vérifieront en premier lieu le partage des valeurs.","Les personnes vérifieront en premier lieu si le collaborateur sera profondément en accord avec la vision et la raison d'être de l'organisation.","15","3","NOUVELLES COLLABORATIONS","0","fr"
"16","16","Dans votre organisation, comment décririez-vous l'approche du développement personnel ?","Le développement personnel est contraint par le bon vouloir du chef. Il n'est pas explicitement thématisé.","Le développement personnel est restraint aux compétences professionnelles nécessaires pour réaliser les tâches du poste occupé.","Le développement personnel est focalisé sur les compétences professionnelle et humaines. Les souhaits de développement de carrière sont pris en compte.","Le développement personnel est vu comme un facteur clé de succès. Il est encouragé par du mentorat et de la mise en réseau.","L'épanouissement personnel est vu comme central. Le mentorat pair-à-pair créé un environnement de synergies et d'apprentissage mutuel.","16","3","DEVELOPPEMENT PERSONEL","0","fr"
"17","17","Dans votre organisation, comment les personnes se comportent-elles face à la nouveauté ?","Les personnes acceptent les idées nouvelles de façon inconditionnelle si elles viennent du chef.","Les personnes voient les idées nouvelles comme quelque chose qui pourraient perturber le système existant.","Les personnes voient les idées nouvelles comme une source d'amélioration et un moyen d'augmenter les performances de l'entreprise.","Les gens voient les idées nouvelles comme une chance de grandir et d'évoluer collectivement.","Les gens voient les idées nouvelles comme une source de transformations et de découvertes. Une grande quantité de nouvelles idées émergent organiquement et certaines d'entre elles se concrétisent rapidement.","17","3","REACTION À LA NOUVEAUTÉ","0","fr"
"18","18","Dans votre organisation, parmi les choses suivantes, à laquelle les gens sont-ils le plus loyaux?","La chose à laquelle les gens sont le plus loyaux est leur chef.","La chose à laquelle les gens sont le plus loyaux est le respect des règles.","La chose à laquelle les gens sont le plus loyaux est l'organisation.","La chose à laquelle les gens sont le plus loyaux est le respect des valeurs partagées.","La chose à laquelle les gens sont le plus loyaux est le respect d'eux même, de leurs valeurs et de leur intégrité.","18","3","LOYAUTÉ","0","fr"
"19","19","Dans votre organisation, de quoi ont généralement besoin les personnes pour se sentir en sécurité ?","Les personnes ont besoins de la protection du chef pour se sentir en sécurité.","Les personnes ont besoin de cadres et de règles pour se sentir en sécurité.","Les personnes ont besoin que leur position dans l'organisation ne soit pas menacée pour se sentir en sécurité.","Les personnes ont besoin que leurs attentes et leur perspective personnelle soient comprises et reconnues afin de se sentir en sécurité.","Les gens ont besoin de bienveillance authentique afin de se sentir en sécurité.","19","3","SENTIMENT DE SÉCURITÉ","0","fr"
"20","20","Dans votre organisation, comment l'expression de ses sentiments et de ses émotions est-elle perçue?","L'expression de ses sentiments et de ses émotions ne se fait jamais car cela est perçu comme un signe de faiblesse.","L'expression de ses sentiments et de ses émotions est perçue comme quelque chose de gênant et devrait être évité.","L'expression de ses sentiments et de ses émotions est perçue comme quelque chose d'humain et d'important pour optimiser les performances de l'entreprise.","L'expression de ses sentiments et de ses émotions est perçue comme quelque chose d'important afin de garantir la santé du groupe. Chacun mérite d'être compris dans son individualité.","L'expression de ses sentiments et de ses émotions fait partie intégralement de la plénitude vécue en groupe et permet de se synchroniser avec ses pairs.","20","3","EXPRESSION DES SENTIMENTS","0","fr"
"21","1","In your organization, to what are people firstly loyal?","In my organization I feel that people are firstly loyal to their own manager","In my organization I feel that people are firstly loyal to established order and rules","In my organization I feel that people are firstly loyal to the organization","In my organization I feel that people are firstly loyal to shared values","In my organization I feel that people are firstly loyal to their own personal values and integrity","1","0","FIRSTLY LOYAL TO","0","en"
"22","2","In your organization, how far is the ecological consciousness developed?","Preservation of natural resource is fully ignored. The organization does not feel concerned.","Preservation of natural resources is considered but limited to the compliance with laws and sector obligations","Efforts and measures are undertaken but are limited to the reduction of internal consumption of natural resources","The organization commits proactively to the preservation of natural resources","The organization contributes with great efforts and impact to the regeneration of natural resources","2","0","NATURAL RESOURCES","0","en"
"23","3","In your organization, how are salaries and compensation decided and by whom?","The boss makes all the decisions on salary, bonuses and shares.","Managers and executives use a salary structure based on role and experience to determine remuneration.","Managers and executives use a combination of salary structures and personnal achievements to determine remuneration.","Managers and executives base remuneration  on team achievements","Compensation levels are decided by mutual consent or proposed by the individual using advice from the rest of the team. Compensation for team members is transparent to all.","3","0","SALARY","0","en"
"24","4","How are team meetings run in your organization?","Meetings are mostly ad hoc, called at short notice only by the boss and are used by the boss to inform the staff.","Only managers schedule meetings and write the agendas.","Anyone can call a meeting and the agenda is generally set collectively. The manager runs the meeting and makes the decisions but does ask for ideas from others first.","Meetings follow a predefined process. Meeting roles are set and people make sure that everybody can express their opinion and needs. Decisions are made through consensus.","During meetings egos are kept in check. Decisions are made through consent and by listening for what wants to emerge.","4","0","MEETING","0","en"
"25","5","In your organization, who makes decisions which have a big impact on the group?","High impact decisions are made by the boss without consulting the staff.","High impact decisions are made by management and executives only.","High impact decisions are made by management and executives only but other people can influence deciders if they are well connected.","High impact decisions are made by management after consulting with staff in an open and receptive way.","High impact decisions can be made by anyone in the team as long as they consult with those affected by the decision and gather expert advice.","5","0","DECISION MAKING","0","en"
"26","6","In your organization, how is key information normally shared with the group?","Key information is held and retained by the boss","Key information is held by management, at times some information is shared with the whole team.","Key information is held by management who may share it with staff they are friends with before it is shared with the rest of the team.","Key information is mostly shared on collective platforms","Key information is shared so that decisions, inspiration and innovation can happen in full knowledge of past, present and potentials.","6","0","SHARING OF KEY INFORMATION","0","en"
"27","7","In your organization, who exerts disciplinary power over people? Who has the power to blame and fire?","The boss exerts full disciplinary power over people.","The manager exerts disciplinary power over people according to both established policies and own rules","Management and human resources work together to make disciplinary decisions.","Disciplinary power exists but is rarely used since communication is seen as key to solve problems","Disciplinary power does not really exist any more and is replaced by group self-regulation mechanisms","7","0","DISCIPLINARY POWER","0","en"
"28","8","In your organization, how much scope do you have to take initiatives? How is suggestions from staff perceived?","The boss generally is not open to suggestions, which may lead to negative consequences.","The boss is not open to suggestions from staff. Employees and managers must only work on task set by the boss.","The boss is open to suggestions if the idea fits with management objectives and the boss agrees.","The boss is very supportive of suggestions. The organisation has tools that empower staff to make suggestions.","The organisation is designed to encourage and support suggestions and personal projects. Experts must be consulted before making decisions.","8","0","PERSONAL INITIATIVES","0","en"
"29","9","In your organization, how do people generally deal with failure?","Failure is punished. The level of punishment depends on boss.","Failure is not an option. People may try to hide their mistakes.","Failures must be understood to improve but remedial action must be taken. Getting a second chance is difficult.","Failures are painful but useful. They are widely discussed to see what can be learnt.","Failure is not shameful and is seen as a great source of learning which is used to make improvements.","9","0","DEALING WITH FAILURE","0","en"
"30","10","In your organization, how are conflicts between people resolved?","The boss determines who is wrong or right.","The manager decides who is right and wrong after carefully listening to both parties and referring to internal rules.","The manager tries to find a win-win solution. If that does not work he makes a decision.","A mediation mechanism exists to help both parties find a solution. If that does not work the manager makes a decision.","Non-violence-communication and assertiveness are practised at all times. Conflicts are mostly resolved peer-to-peer. If that does not work mediation is used.","10","0","CONFLICT RESOLUTION","0","en"
"31","11","What is the climate like in your organisation? what kind of atmostphere is there in the office?","Mostly it is a climate of fear","The climate is dominated by rules and conventions.","The climate is predominantely one of competition","The climate feels like working in a family.","The climate is open-minded, open-hearted and creative.","11","0","ORGANISATIONAL CLIMATE","0","en"
"32","12","What is your organisations approach to working with its partners?","The organization tries to dominate its partners.","The organization interacts with its partners in a transactional based on contractual agreements.","The organization considers its partners mainly as support for its own business strategy.","The organization selects its partners according to its values and seeks a win-win relationship.","The organization creates fruitful synergies with its partners and ecosystem.","12","0","PARTNERSHIP APPROACH","0","en"
"33","13","In your company, who defines strategic direction?","Strategic direction is decided by the boss.","Strategic direction is defined by the boss and managers.","Strategic direction is decided by the board of directors in consultation with executives.","Strategic direction is discussed with all of employees","Strategic direction can be deeply influenced by all contributors and the ecosystem of the organization","13","0","STRATEGIC DIRECTION","0","en"
"34","14","In your organization, how would you describe the leadership style?","The boss gives the orders and staff follow them.","Leadership is characterised by central controll and people are managed following processes.","Leadership mostly consists of setting objectives and assessing achievements","Leadership is inspirational and empowering.","Leadership is decentralized. Everybody can become a leader according to their expertise. Each person can express their talents.","14","0","LEADERSHIP STYLE","0","en"
"35","15","In your organization, what elements support new and ongoing collaborations between individuals and teams?","People need to know that the members of the team will be loyal.","People mostly need strong rules and processes that everyone follows.","People mostly need to be sure that others will contribute to the success of the team.","People mostly need to be sure that others share their values.","People mostly need to be sure that others are deeply driven by the purpose of the organization","15","0","QUALITIES NEEDED FOR COLLABORATIONS","0","en"
"36","16","How does your organisation approach training and development?","Training and development is decided on by the boss.","Training and development is focused on task based skills development only.","Training and development is focused on professional skills, soft skills and the individuals larger career aspirations.","Training and development is seen as key and is supported by individual coaching and networking","Personal fulfillment is put at the center of training and development and peer coaching creates a  fruitful learning environment.","16","0","TRAINING AND DEVELOPMENT","0","en"
"37","17","In your organization, how do people behave when they are confronted with new ideas?","People accept new ideas unconditionally if they come from the boss.","People see new ideas as something that might disturb the existing system.","People see new ideas as a potential source of improvement and a means to improve performance","People see new ideas as a chance to grow and evolve collectively.","People see new ideas as a source of transformation and discovery. Many new ideas emerge, some of them flourish fast while others are let go, as part of the organic process of change.","17","0","REACTION TO NEW IDEAS","0","en"
"38","18","In your organization, to what are people firstly loyal?","In my organization I feel that people are firstly loyal to their own manager","In my organization I feel that people are firstly loyal to established order and rules","In my organization I feel that people are firstly loyal to the organization","In my organization I feel that people are firstly loyal to shared values","In my organization I feel that people are firstly loyal to their own personal values and integrity","18","0","FIRSTLY LOYAL TO","0","en"
"39","19"," In your organization, what do people generally need to feel safe?","People require the protection of the boss to feel safe","People require clear frameworks and rules to feel safe","People require job security and a sense of meritocracy to feel safe.","People require others to have a good understanding of their needs and perspective to feel safe","People require genuine goodwill to feel safe","19","0","FEEL SAFE","0","en"
"40","20","In your organization, how is it perceived when people express their feelings and emotions?","Expressing emotions is never done because it is seen as a sign of weakness.","Expressing emotions is seen as inapproriate in the work place.","Expressing emotions is seen as human and helpful in motivating people to optimise performance.","Expressing emotions is seen as very important for a healthy group. Everybody must have the opportunity to be understood.","Expressing emotions is part of wholeness and is helpful to synchronize with peers.","20","0","EXPRESSING FEELINGS","0","en"
