"75","1","38","Bien adapté aux environnements stables où les choses peuvent être planifiées sur le long terme. L'organisation met en place des structures et des processus qui lui permettent une mise à l'échelle et de réaliser des grands projets."
"76","2","38","Well adapted to stable environments where things can be planned for the long-term. The organization sets up structures and processes that allow it to scale up and carry out large projects."
"77","1","39","Meute de loups"
"78","2","39","Wolf pack"
"79","1","40","Division du travail"
"80","2","40","Division of labor"
"81","1","41","Exercice du pouvoir en relations interpersonnelles"
"82","2","41","Command authority"
"83","1","42","Bien adapté aux environnements chaotiques, mais peu adapté pour atteindre des résultats complexes dans des environnements où la planification et la pensée stratégique sont possibles."
"84","2","42","Well adapted to chaotic environments, but poorly suited to achieve complex results in environments where planning and strategic thinking are possible."
"85","1","43","Cliquez pour découvrir les stades "
"86","2","43","Click to discover the stages"
"87","1","44","Prénom"
"88","2","44","Firstname"
"89","1","45","Nom"
"90","2","45","Lastname"
"91","1","46","Mot de passe"
"92","2","46","Password"
"93","1","47","Confirmer le mot de passe"
"94","2","47","Retype password"
"95","1","48","Valider"
"96","2","48","Submit"
"97","1","49","Prénom"
"98","2","49","Firstname"
"99","1","50","Nom"
"100","2","50","Lastname"
"101","1","51","E-mail"
"102","2","51","Email"
"103","1","52","Importer un fichier CSV"
"104","2","52","Import CSV"
"105","1","53","Société"
"106","2","53","Company"
"107","1","54","Langue"
"108","2","54","Language"
"109","1","55","Premier membre"
"110","2","55","First member"
"111","1","56","Choisir un fichier"
"112","2","56","Choose file"
"113","1","57","Profil"
"114","2","57","Profile"
"115","1","58","Parcourir"
"116","2","58","Browse"
"117","1","59","Mes résultats"
"118","2","59","My results"
"119","1","60","Comparer"
"120","2","60","Compare"
"121","1","61","Comparaison des résultats"
"122","2","61","Comparison of results"
"123","1","62","Retour à mes résultats"
"124","2","62","Back to my results"
"125","1","63","Paramètres"
"126","2","63","Settings"
"127","1","64","Résultats"
"128","2","64","Results"
"129","1","65","Évaluation"
"130","2","65","Assessment"
"131","1","53","Société"
"132","2","53","Company"
"133","1","54","Langue"
"134","2","54","Language"
"135","1","66","Introduction"
"136","2","66","Introduction"
"137","1","67","Mon profil"
"138","2","67","My account"
"139","1","68","Gestion des utilisateurs"
"140","2","68","User Management"
"141","1","69","Créer un compte client"
"142","2","69","Create a user account"
"143","1","70","Gestion des sujets"
"144","2","70","Subject management"
"145","1","71","Gestion des traductions"
"146","2","71","Translation management"
"147","1","72","Gestion des entreprises"
"148","2","72","Company management"
"149","1","73","Gestion des e-mails"
"150","2","73","Email management"
"151","1","74","Gestion des icônes"
"152","2","74","Icon management"
"153","1","75","Liste des utilisateurs"
"154","2","75","Users list"
"155","1","76","Déconnexion"
"156","2","76","Logout"
"157","1","77","Notation des questions"
"158","2","77","Questions notation"
"159","1","78","Retour à la liste"
"160","2","78","Back to list"
"161","1","79","Importer un fichier CSV"
"162","2","79","New File Import"
"163","1","80","Comparer"
"164","2","80","Compare"
"165","1","81","Retour aux notations"
"166","2","81","Back to notation"
"167","1","82","Ce sujet vous tient-il à cœur et mérite-t-il d’être discuté au sein de "
"168","2","82","Is this theme important to you and deserves to be discussed within"
